"Date","Price","Open","High","Low","Change %"
"May 07, 2021","0.1554","0.1547","0.1555","0.1546","0.53%"
"May 06, 2021","0.1546","0.1543","0.1547","0.1542","0.09%"
"May 05, 2021","0.1545","0.1545","0.1545","0.1545","0.00%"
"May 04, 2021","0.1545","0.1545","0.1545","0.1545","0.00%"
"May 03, 2021","0.1545","0.1545","0.1545","0.1545","0.00%"
"Apr 30, 2021","0.1545","0.1545","0.1547","0.1544","0.00%"
"Apr 29, 2021","0.1545","0.1545","0.1547","0.1543","0.11%"
"Apr 28, 2021","0.1543","0.1542","0.1544","0.1541","0.04%"
"Apr 27, 2021","0.1542","0.1542","0.1543","0.1541","0.05%"
"Apr 26, 2021","0.1542","0.1542","0.1543","0.1540","0.15%"
"Apr 23, 2021","0.1539","0.1540","0.1541","0.1538","-0.07%"
"Apr 22, 2021","0.1540","0.1541","0.1543","0.1539","0.00%"
"Apr 21, 2021","0.1540","0.1538","0.1541","0.1538","0.14%"
"Apr 20, 2021","0.1538","0.1537","0.1541","0.1536","0.17%"
"Apr 19, 2021","0.1536","0.1532","0.1537","0.1531","0.15%"
"Apr 16, 2021","0.1533","0.1531","0.1534","0.1530","0.00%"
"Apr 15, 2021","0.1533","0.1531","0.1534","0.1528","0.10%"
"Apr 14, 2021","0.1531","0.1529","0.1532","0.1528","0.23%"
"Apr 13, 2021","0.1528","0.1528","0.1529","0.1526","0.11%"
"Apr 12, 2021","0.1526","0.1525","0.1528","0.1524","0.00%"
"Apr 09, 2021","0.1526","0.1527","0.1528","0.1524","0.00%"
"Apr 08, 2021","0.1526","0.1527","0.1528","0.1526","-0.12%"
"Apr 07, 2021","0.1528","0.1529","0.1530","0.1527","0.00%"
"Apr 06, 2021","0.1529","0.1526","0.1529","0.1524","0.38%"
"Apr 05, 2021","0.1523","0.1523","0.1523","0.1523","0.04%"
"Apr 02, 2021","0.1522","0.1524","0.1525","0.1522","-0.06%"
"Apr 01, 2021","0.1523","0.1525","0.1526","0.1520","-0.19%"
"Mar 31, 2021","0.1526","0.1522","0.1528","0.1522","0.29%"
"Mar 30, 2021","0.1522","0.1520","0.1524","0.1520","0.00%"
"Mar 29, 2021","0.1522","0.1529","0.1529","0.1521","-0.45%"
"Mar 26, 2021","0.1529","0.1529","0.1530","0.1527","0.09%"
"Mar 25, 2021","0.1527","0.1532","0.1532","0.1527","-0.32%"
"Mar 24, 2021","0.1532","0.1534","0.1535","0.1532","-0.14%"
"Mar 23, 2021","0.1534","0.1537","0.1537","0.1534","-0.13%"
"Mar 22, 2021","0.1536","0.1536","0.1537","0.1535","0.04%"
"Mar 19, 2021","0.1536","0.1536","0.1538","0.1534","-0.06%"
"Mar 18, 2021","0.1537","0.1540","0.1541","0.1535","0.00%"
"Mar 17, 2021","0.1537","0.1537","0.1539","0.1537","0.00%"
"Mar 16, 2021","0.1537","0.1539","0.1540","0.1537","-0.09%"
"Mar 15, 2021","0.1538","0.1540","0.1540","0.1536","0.13%"
"Mar 12, 2021","0.1536","0.1543","0.1544","0.1536","-0.22%"
"Mar 11, 2021","0.1540","0.1539","0.1543","0.1538","0.19%"
"Mar 10, 2021","0.1537","0.1536","0.1538","0.1534","0.00%"
"Mar 09, 2021","0.1537","0.1532","0.1538","0.1528","0.29%"
"Mar 08, 2021","0.1532","0.1539","0.1540","0.1531","-0.45%"
"Mar 05, 2021","0.1539","0.1546","0.1546","0.1539","-0.42%"
"Mar 04, 2021","0.1545","0.1545","0.1547","0.1545","-0.04%"
"Mar 03, 2021","0.1546","0.1546","0.1549","0.1545","0.07%"
"Mar 02, 2021","0.1545","0.1547","0.1547","0.1544","-0.08%"
"Mar 01, 2021","0.1546","0.1546","0.1548","0.1545","0.16%"
"Feb 26, 2021","0.1544","0.1543","0.1549","0.1542","-0.33%"
"Feb 25, 2021","0.1549","0.1549","0.1551","0.1548","0.00%"
"Feb 24, 2021","0.1549","0.1549","0.1552","0.1547","0.18%"
"Feb 23, 2021","0.1546","0.1549","0.1550","0.1545","0.00%"
"Feb 22, 2021","0.1546","0.1548","0.1549","0.1546","-0.11%"
"Feb 19, 2021","0.1548","0.1545","0.1550","0.1544","0.46%"
"Feb 18, 2021","0.1541","0.1551","0.1552","0.1541","-0.48%"
"Feb 17, 2021","0.1548","0.1548","0.1548","0.1548","0.00%"
"Feb 16, 2021","0.1548","0.1548","0.1548","0.1548","0.00%"
"Feb 15, 2021","0.1548","0.1548","0.1548","0.1548","0.00%"
"Feb 12, 2021","0.1548","0.1548","0.1548","0.1548","0.06%"
"Feb 11, 2021","0.1547","0.1548","0.1549","0.1548","-0.05%"
"Feb 10, 2021","0.1548","0.1554","0.1555","0.1548","-0.35%"
"Feb 09, 2021","0.1554","0.1551","0.1555","0.1549","0.25%"
"Feb 08, 2021","0.1550","0.1548","0.1551","0.1547","0.23%"
"Feb 05, 2021","0.1546","0.1546","0.1548","0.1543","0.08%"
"Feb 04, 2021","0.1545","0.1548","0.1549","0.1545","-0.15%"
"Feb 03, 2021","0.1547","0.1549","0.1549","0.1547","-0.06%"
"Feb 02, 2021","0.1548","0.1547","0.1551","0.1546","0.17%"
"Feb 01, 2021","0.1546","0.1555","0.1555","0.1545","-0.60%"
"Jan 29, 2021","0.1555","0.1549","0.1557","0.1546","0.30%"
"Jan 28, 2021","0.1550","0.1541","0.1551","0.1540","0.54%"
"Jan 27, 2021","0.1542","0.1548","0.1549","0.1541","-0.28%"
